"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","1","project_id","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","2","MEP Activity ID","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","3","MEP Schedule Activity ID","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","4","Phase","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","5","Building / Zone","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","6","Activity Name","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","7","Original Duration","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","8","Start","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","9","Finish","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","10","Predecessor Activity ID(s)","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","11","Predecessor Relationship Details","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","12","Successor Activity ID(s)","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","13","Successor Relationship Details","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","14","Related Civil Activity ID","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","15","Related Civil Activity Name","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","16","Related Civil Start","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","17","Related Civil Finish","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","18","Civil Finish After MEP Insertion","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","19","Source Schedule Activity ID","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","20","Source Schedule Activity Name","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","21","Source WBS","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","22","Match Score","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","23","Date Basis","24","0.46","6/15/2026 10:54:56 PM"
"MEP Schedule.csv","projects\The-BIG\bl","projects\The-BIG\bl\MEP Schedule.csv",",","24","Insertion Note","24","0.46","6/15/2026 10:54:56 PM"
