project_id,Coding No.,Reference,Supplier,Unit/Bundle,Total Quantity,Date of delivery
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-015-R00,15,Roya,TON,146.8,28-Oct-25
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-050-R00,50,Roya,TON,440.18,9-Dec-25
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-056-R01,56,Samco,TON,11.975,6-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-057-R01,57,Samco,TON,30.625,13-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-058-R01,58,Samco,TON,69.425,15-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-061-R00,61,Samco,TON,43.047,26-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-062-R00,62,Samco,TON ,19.61,27-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-063-R00,63,Samco,TON ,101.74,29-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-064-R00,64,Samco,TON ,13.705,31-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-065-R00,65,Samco,TON ,88.66,9-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-066-R00,66,Samco,TON ,20.013,26-Jan-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-067-R00,67,Roya,TON ,52.71,12-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-068-R00,68,Roya,TON ,181.73,13-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-069-R00,69,Roya,TON ,60.425,13-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-070-R00,70,Roya,TON ,76.25,14-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-071-R00,71,Samco,TON ,5.925,15-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-072-R00,72,Samco,TON ,2.01,16-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-073-R00,73,Samco,TON ,29.67,17-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-074-R00,74,Samco,TON ,15.62,17-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-075-R00,75,Samco,TON ,5.765,18-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-076-R00,76,Samco,TON ,1.08,15-Feb-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-077-R00,77,Samco,TON ,78.74,6-Apr-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-078-R00,78,Samco,TON ,19.68,19-Apr-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-079-R00,79,Samco,TON ,7.775,20-Apr-26
The Big -P.01-UP-20-April-26,SAMCO-PCO-MIR-STR-080-R00,80,Roya,TON ,355.84,4-May-26
